,label,text
470,business,"Tsunami slows Sri Lanka's growth  Sri Lanka's president has launched a reconstruction drive worth $3.5bn (£1.8bn) by appealing for peace and national unity.  President Kumaratunga said it was now important to find a peaceful solution to years of internal conflict. Meanwhile, the International Monetary Fund (IMF) said damage from the tsunami would cut one percentage point from Sri Lanka's economic growth this year. It estimated the wave left physical damage equal to 6.5% of the economy.  Separately, the International Labour Organisation (ILO) said that at least one million people have lost their livelihoods in Sri Lanka and Indonesia alone. It called for action to create jobs. President Kumaratunga attended a ceremony in the southern town of Hambantota. She was joined by government and opposition politicians, together with Buddhist, Hindu, Muslim and Christian clergy.  Prime Minister Mahinda Rajapakse laid the foundation stone on a new housing project intended to provide 6,000 homes for survivors of the tsunami. Mrs Kumaratunga called for the tragedy to be ""the start of a new beginning to rebuild our nation"". ""We are a country blessed with so many natural resources and we have not made use of them fully. Instead we have been squabbling, fighting,"" she added. Norway's peace negotiator Erik Solheim is due to arrive on Wednesday to try to revive peace talks in the decades-long conflict between government forces and the Tamil Tigers, who want a separate state in the north east of the country. Reconstruction efforts in eastern Sri Lanka have been hampered by tensions between the two sides.  The IMF said that the Sri Lankan authorities' initial estimates have put the physical damage at $1.3 to $1.5bn, but added that the implications for the economy were much wider than this. ""The broader macroeconomic impact will clearly be substantial but the details are difficult to assess at this early stage,"" the IMF said. Growth, inflation, the balance of payments and foreign exchange reserves are all expected to show the effects of lost businesses and reconstruction costs. ""The fishing industry has been devastated, agricultural production may be affected and tourism will suffer, especially in the short term,"" the report said. The ILO estimated that 400,000 Sri Lankans have lost their jobs, mostly in these three industries. Earnings from tourism this year are expected to be 15% lower than last year. Economic growth this year is expected to be 4%, which is about 1% less than previously forecast. Inflation could climb to 14% compared to a previous estimate of 12%. Although major exports have not suffered, the IMF expects the reconstruction effort will require higher imports which could damage the balance of payments. Foreign exchange reserves may become strained as ""Sri Lanka will be hard pressed to keep international reserves at the pre-tsunami level"" which totalled more than two months worth of imports. Last week, the IMF approved Sri Lanka's request for a freeze on loan repayments."
1058,politics,"Kinnock to urge reform in Lords  Neil Kinnock has said his acceptance of a seat in the House of Lords will allow him to help ""achieve further progress with substantial democratic reform.""  On the BBC's Breakfast with Frost it was put to Mr Kinnock that he had once referred to Lords members as ""brigands, muggers, bribers and gangsters"". But the outgoing European Commissioner said his comments - made some 26 years ago - needed to be put in context. He said advocates for reform needed to be inside the Lords to vote for it. ""It was pointed out to me that if the additional democratic reform is going to take place it is going to require advocates in the Lords and people there willing to vote for it.""  Mr Kinnock added that the second factor behind his acceptance of the peerage was his appointment as chairman of the British Council. ""History demonstrates that it's immensely useful for the British Council to have its chairman in the House of Lords and that was a conclusive factor."" Mr Kinnock said he thought about the decision for ""quite a long time"" because he had long had reservations about the Lords. But he added: ""The process of reform has developed substantially but not sufficiently, and consequently I did take all these factors into consideration because it's not a decision to be made glibly."" The former Labour leader said he would probably take the title of Lord Kinnock of Bedwellty - his first constituency for which he was selected in 1969."
980,politics,"UK's 'useless' quangos under fire  The UK has 529 quangos financed with billions of pounds of taxpayers' cash - many of which are useless or duplicate each other's efforts, a report claims.  Essential Guide to British Quangos 2005 author Dan Lewis said at least 111 of the appointed bodies had been set up since Labour won power in 1997. He urged a limit on the number of quangos that could be set up by any individual government department. Tories and Lib Dems welcomed the report and called for a ""slimming down"".  Conservative deregulation spokesman John Redwood said: ""The research endorses our policy of destroying unwanted and unnecessary quangos, and slimming down the rest.  ""A Conservative government will axe 162 quangos, as part of its drive for more efficient and more accountable government."" Lib Dem spokesman Ed Davey meanwhile said instead of the ""bonfire of quangos"" New Labour had promised, there had been an ""explosion"" of them. ""For over two decades, under both Tory and Labour governments, these unaccountable agencies have mushroomed. ""Liberal Democrats would abolish many, merge others, and make any that remain properly accountable."" Labour representatives were unavailable for comment. The quango guide follows last year's government-commissioned Gershon Report which recommended significant cuts in bureaucracy across the public sector.  Mr Lewis wants a public inquiry into regional development agencies which cost £1.8bn a year - cash he says which ""appears to be almost entirely wasted"". As well as a departmental limit on quangos he also wants a statutory five-year limit on any such body with executive powers. He also listed what he dubbed the nine ""most useless quangos"". They were the British Potato Council, the Milk Development Council, the Energy Savings Trust, Agricultural Wages Committees, the Wine Standards Board, the Westminster Foundation for Democracy, the Football Licensing Authority, Investors in People UK and the Economic and Social Research Council. Mr Lewis branded the existence of the 60-employee Potato Council, set up in 1997 to research and promote overseas potato markets, ""surprising"". He said the £80m spent annually on the Energy Savings Trust, which promotes renewable energy, would be better spent on eight million boiler jackets for British homes.  And he argued it was ""absurd"" to charge farmers for Agricultural Wages Committees, which set working and wage standards in the industry, when many were prepared to take advantage of immigrant labour prepared to work for £1 an hour. ""If a football team can afford to pay £27m for Wayne Rooney, why should the taxpayer - not all of whom like football - be forced to fund the Football Licensing Authority to the tune of over £1.1m a year?"" Mr Lewis asked. The report is published by the Efficiency in Government Unit - a joint effort by right of centre think tanks the Economic Research Council and the Centre for Policy Studies. It says before a new public body is set up, an assessment should be made whether its proposed role is already carried out by an existing charity or other private organisation."
2011,tech,"Call for action on internet scam  Phone companies are not doing enough to warn customers about internet ""rogue-dialling"" scams, according to premium phone line regulator Icstis.  It has received 45,000 complaints in recent months about dial-up internet connections diverting to premium rate numbers without users' knowledge. Phone companies refuse to pay compensation because they say calls must be paid for. They must warn people earlier about possible fraud, Icstis said.  People who use dial-up connections can be affected by the scams. Without realising, a program can be downloaded which diverts internet calls via a premium phone line. Victims often fail to notice until they receive an unusually high bill. Icstis spokesman Rob Dwight said: ""Phone companies should get in touch with their customers sooner. ""If my bill goes over the usual £50 a month I want to know about it straight away - I don't want to be told when it's hit £750.""  Phone companies had the systems in place to spot fraudulent activity and artificially-inflated traffic, he said. ""We alert them to the numbers that we have under investigation and they should be looking out for these numbers,"" he added.  Telecoms ombudsman Elizabeth France said: ""Certainly I would not be surprised to find my credit card company phoning me if I do something out of the ordinary. ""So I would expect phone companies to be looking to see if they can have a similar approach."" The biggest phone company BT says it is doing what it can to monitor fraud and warn people about rogue dialling. Its advice to customers is to use call barring if they want to prevent calls to premium lines because, under the current system, once the call has been made there's little that can be done.  Gavin Patterson, group managing director for BT Consumer, said ""We do look at customer's calling patterns and we do make interventions when they are out of the ordinary. ""We're looking at the moment at whether we can improve this."" But as BT handled 180 million calls a day monitoring was ""quite a task in itself"", he added. The government has ordered a review of premium line services and is likely to say Icstis should have more power to deal with rogue diallers in future. At the moment, it cannot demand pay-outs on the behalf of customer - it can only close illegal services down.  I use free anti-virus software (AVG) and free firewall protection (ZoneAlarm). Both of these tools have prevented unauthorised access and outgoing calls inadvertently and innocently caused by my daughter's love of music sites. How about ISPs informing all customers of such facilities? The responsibility clearly falls with the customer but many fall prey through simply not knowing how to avoid these issues.  Ignorance is and always has been an expensive business.  Does any one know what happens once this fraud has been committed and recognised? The phone companies pay the people who obtaining money fraudulently, so are these people followed up and prosecuted ?  These diallers are mainly downloaded from sites offering illegal MP3s, porn and pirated software. If people didn't visit such sites they'd be considerably less at risk. Whatever happened to personal responsibility? It seems everyone has to be a 'victim' these days!  Part of the blame has to rest with the manufacturers of home computer operating systems. A secure system should not allow a web page or email to download and install anything without the user's knowledge.  These scams are illegal and telephone companies should have nothing to do with them. They should refuse to pay money over to the perpetrators. Or are they themselves receiving such good returns that it is in their interest to keep the scam going?  Why don't BT et al block all premium numbers by default and only turn it off at the customer's request? To anyone who falls foul of this scam - refuse to pay your telephone provider for these calls. After you notify your telephone provider of these fraudulent transactions, they cannot insist on you paying the bill. To do so would be to knowingly assist the fraudsters to commit the fraud. No customers have yet been taken to court for refusing to pay these bills.  Disable or remove your modem and use broadband instead - then you have nothing to worry about. Or buy some decent firewall software and anti-virus. You would not walk out in the freezing cold without a coat - you would not drive your car without any insurance - so why not protect your PC? Stop blaming the phone companies - it's not their fault!  I was very impressed with our phone company recently. I had kept ringing a hotline number for Kylie tickets and next day they rang back to ask if I was aware there were 40-odd calls to the same number. Great service. And I got the tickets as well!  I have a colleague who has fallen victim to this kind of scam. He informed the phone company about it, they subsequently put a block on premium rate numbers. Three months later another huge bill of over £1,000 came in - the block apparently didn't work and he still has to pay for it, even though a block was in place. Phone companies are probably quite happy for their customers to be hit with a huge bill, otherwise they'd be taking extra steps to prevent this kind of problem.  I have been scammed of £139. The operator will do nothing about this and, to add insult to injury, I was charged VAT by the government.  Premium rate numbers have been subject to various scams ever since they were invented. One example was where thieves would set up a premium rate number and then dial it day and night from phones whose quarterly bills were never paid. The telephone company was the victim here and you can bet that loophole was blocked very quickly.  I know people who have run up large bills, despite being IT-literate. From talking to BT in Belfast, I believe that they will shortly be giving out a free application that can stop you dialling expensive numbers without knowing. It's not the fault of phone companies, and at last they are doing something about it.  It's about time that the profiteering by the 'legitimate' phone companies came to an end, mainly by doing away with dial-up altogether and bring broadband down to the same price as dial-up! Not only will this ruin things for the dialler scammers but also allow people to update and upgrade their security more easily and quickly.  I haven't ""fallen victim to a rogue-dialling scam"" but I think you're seriously remiss in not pointing out that the vast majority of these scams arise from people trying to access services purporting to provide free pornography. In most cases the user is entirely at fault, which is probably why the telephone companies are rightly unwilling to refund them.  My telephone supplier did not inform me that my monthly bill had risen from its normal £3 to £5, to £320. This was because of the scam. They simply billed me. What particularly galls me, over and above having over £300 stolen, is that the supplier and the government (through VAT) are profiting from this crime and will not reimburse me their portion of my losses.  How about an automatic monthly cap of say £20 on premium rate calls that you would have to contact your provider to have lifted? That way you could use legitimate premium rate numbers while limiting fraudulent usage. At least any disputed amount would be limited, far easier for a telecoms operator to write off £20 than it is £750.  A few years back I was also the target of such scams but thank God I have already upgraded to broadband and nothing was connected to my modem so all I heard was the sound of an attempted connection.  How about home users take some responsibility and ensure their anti-virus and firewall software is up to date? That should prevent the vast majority of these scams."
495,business,"Europe asks Asia for euro help  European leaders say Asian states must let their currencies rise against the US dollar to ease pressure on the euro.  The European single currency has shot up to successive all-time highs against the dollar over the past few months. Tacit approval from the White House for the weaker greenback, which could help counteract huge deficits, has helped trigger the move. But now Europe says the euro has had enough, and Asia must now share some of the burden.  China is seen as the main culprit, with exports soaring up 35% in 2004 partly on the back of a currency pegged to the dollar. ""Asia should engage in greater currency flexibility,"" said French finance minister Herve Gaymard, after a meeting with his German counterpart Hans Eichel. Markets responded by pushing the euro lower, in the expectation that the rhetoric - and the pressure - is unlikely to ease ahead of a meeting of the G7 industrialised countries next week. Early on Tuesday morning, the dollar had edged higher to 1.3040 euros. The yen, meanwhile, had strengthened to 102.975 against the dollar by 0730 GMT."
1112,politics,"Schools to take part in mock poll  Record numbers of schools across the UK are to take part in a mock general election backed by the government.  Some 600 schools have already signed up for the Y Vote Mock Elections 2005 run by the Hansard Society and aimed at boosting interest in politics. Pupils in the schools taking part will learn the skills of speech writers, canvassers and political candidates. Schools Minister Stephen Twigg said engaging young people's interest was ""essential"" to the future of democracy.  He added: said ""Young people who are engaged and motivated by the political process are essential to the future health of our democracy. ""The mock elections initiative provides an opportunity for pupils to develop their own understanding of how the democratic process works and why it matters. ""By experiencing the election process first hand - from running a campaign to the declaration of the final result - we hope that young people will develop the enthusiasm to take part in the future."" The Hansard Society, the Electoral Commission and the Department for Education and Skills are running the programme. Pupils will stand as party candidates, speech writers and canvassers. Michael Raftery, project manager at the Hansard Society, said: ""The Y Vote Mock Elections for schools mirror the excitement and buzz of a real election, raising awareness of citizenship, and the benefits of active democracy."" The mock votes will take place around 5 May, widely expected to be the date of the general election. Information packs, including ballot papers and manifesto guides, with elections happening in early May were sent out to the 3,000 schools invited to take part."
837,entertainment,"Bookmakers back Aviator for Oscar  The Aviator has been tipped by UK bookmakers as the favourite to win the best film award at this year's Oscars.  Ray star Jamie Foxx is clear favourite in the best actor category while Million Dollar Baby's Hilary Swank is tipped to win the best actress prize. Bookmakers predict Cate Blanchett will be named best supporting actress. William Hill and Ladbrokes have given The Aviator 4/9 and 8/13 odds of winning best film, with Million Dollar Baby in second place at 9/4.  Bet Direct and Bet 365 also tip The Aviator, with the majority of bookmakers regarding Finding Neverland as the outsider. The Aviator is also widely tipped to win the best director prize for Martin Scorsese. British star Clive Owen is second favourite at William Hill to take the best supporting actor award, for his performance in Closer. The favourite in that category is Sideways star Thomas Hayden Church. Vera Drake star Imelda Staunton has 5/1 odds of winning the best actress Oscar at Bet 365 and William Hill, ahead of fellow UK star Kate Winslet who has odds of 25/1 at William Hill.  Mike Leigh is the outsider in the best director category for Vera Drake, a position he holds jointly with Ray's Taylor Hackford at bookmakers VC Bet. This year's Academy Awards will be handed out in Hollywood on 27 February. X Factor judge Sharon Osbourne will present Sky television's live coverage of the event. Meanwhile, Clive Owen's best supporting actor nomination has led a bookmaker to shorten his odds of becoming the next James Bond. He has moved from 4/1 to 5/2 favourite to play 007, with Hugh Jackman and Ewan McGregor joint second favourite. ""Clive Owen's nomination has sparked a betting frenzy from James Bond fans, who feel that his heightened global recognition will have done his chances of becoming the next Bond a world of good,"" said William Hill spokesman Rupert Adams."
341,business,"Honda wins China copyright ruling  Japan's Honda has won a copyright case in Beijing, further evidence that China is taking a tougher line on protecting intellectual property rights.  A court ruled that Chongqing Lifan Industry Group must stop selling Honda brand motorbikes and said it must pay 1.47m yuan ($177,600) in compensation. Internationally recognized regulation is now a key part of China's plans for developing its economy, analysts said. Beijing also has been threatened with sanctions if it fails to clamp down.  Chinese firms copy products ranging from computer software and spark plugs to baby milk and compact discs. Despite the fact that product piracy is a major problem, foreign companies have only occasionally won cases and the compensation awarded has usually been small. Still, recent rulings and announcements will have boosted optimism that attitudes are changing. Earlier this week China said that in future it will punish violators of intellectual property rights with up to seven years in jail. And on Tuesday, Paws Incorporated - the owner of the rights to Garfield the cat - won a court battle against a publishing house that violated its copyright. Other firms that have taken legal action in China, with varying degrees of success, include Yamaha, General Motors and Toyota.  The problem of piracy is not limited to China, however, and the potential for profit is huge. The European Union estimates that the global trade in pirated wares is worth more than 200bn euros a year (£140bn; $258bn), or about 5% of total world trade. And it is growing. Between 1998 and 2002, the number of counterfeit or pirated goods intercepted at the EU's external borders increased by more than 800%, it said. Last month the EU said it will start monitoring China, Ukraine and Russia to ensure they are going after pirated goods. Other countries on the EU's hit list include Thailand, Brazil, South Korea and Indonesia. Any countries that are not making enough of an effort could be dragged to the World Trade Organisation (WTO), a step that could trigger economic sanctions, the EU warned."
1336,sport,"Chepkemei joins Edinburgh line-up  Susan Chepkemei has decided she is fit enough to run in next month's Great Edinburgh International Cross Country.  The Kenyan was initially unsure if she would have recovered from her gruelling tussle with Paula Radcliffe in the New York Marathon in time to compete. But she has declared herself up to the task and joins a field headed by World cross country champion Benita Johnson. Race director Matthew Turnbull said: ""Susan will add even more strength in depth to the world-class line up."" Chepkemei, who won the six kilometre event three years ago when it was staged in Newcastle, endured an epic battle with Radcliffe in the Big Apple until the Briton outsprinted her in the final 400m. Tirunesh Dibaba of Ethiopia will defend the title she won last year in Tyneside - before the race was moved north of the border. Recently-crowned European cross country champion Briton Hayley Yelling also competes in Edinburgh on 15 January, as does in-form Scot Kathy Butler."
2159,tech,"Mac Mini heralds mini revolution  The Mac Mini was launched amid much fanfare by Apple and great excitement by Apple watchers last month. But does the latest Macintosh justify the hype? Let us get a few things dealt with at the outset - yes, the Mac Mini is really, really small, and yes, it is another piece of inspired Apple design. There is more to be said on the computer's size and design but it is worth highlighting that the Mac Mini is a just a computer. Inside that small box there is a G4 processor, a CD/DVD player, a hard drive, some other technical bits and bobs and an operating system. A DVD burner, wireless and bluetooth technologies can be bought at extra cost. And if you do not have a monitor, keyboard or mouse then you will need to purchase those also.  It is not the fastest computer for the money but for under £400 you are getting something more interesting than mere technical specifications - Apple software. The Mac Mini comes bundled with Mac OS X, the operating system, as well as iLife 05, a suite of software which includes iTunes, web browser Safari, iPhoto, Garage Band and iDVD. I doubt many PC lovers would seriously argue that Windows XP comes with a better suite of programs than Mac OS X.  Of course, users of open source operating system Linux draw up their own menu of programs. For people who want to do interesting things with their music, photos and home movies then a Mac Mini is an ideal first computer or companion to a main computer. ""It's a good little machine with a reasonable amount of power and just perfect for the average computer user who wants to leave the tyranny of Window and viruses,"" said Mark Sparrow, technical and reviews editor at Mac Format magazine. He added: ""In essence, it's a laptop in a biscuit tin, minus the screen and the keyboard. ""The software bundle that comes with the mini makes your average budget PC look a bit sick."" The relatively low price of the machine has also encouraged the more technically-savvy to experiment with their Macs. One user has already created a ""dock"" to enable him to plug in and out his Mac Mini in his car.  The small size of the machine makes it a practical solution for in-car entertainment - playing movies and music - as well as navigation. Another user has mounted his Mac Mini to the back of his large plasma screen and then controls the computer via a wireless keyboard and mouse. When it was first announced some pundits thought the Mini was designed as a sort of stealth media centre - ie the machine would be used to serve TV programmes, music, films and photos - partly due to its small, living room friendly design. But there are obvious reasons why this is not the case - at least not in the here and now The hard drive - at 80GB for the larger model - is too small to be realistically used as media centre.  While commercial Personal Video Recorders are on the market with smaller than 80GB hard drives it is worth remembering that they only store TV content. A media centre computer has to store music, files and photos and as such 80GB just seems too small. Most PCs running Windows Media Center have at least 120GB hard disks. Coupled with the lack of a TV tuner card, a digital audio out and any kind of media centre software bundled with the machine then the Mac Mini should be judged on what it is, not what it is not. But that has not stopped more enterprising users from adapting the Mac Mini to media centre uses. So - is the Mac Mini just another computer or a revolution in computing? Graham Barlow, editor of Mac Format, understandably has a rather partisan viewpoint. ""It's just a Mac, but we should be very excited - it's revolutionary in its size (smaller than PCs), looks (looks better than PCs), and the fact that it's the first Mac designed to really go for the low-cost PC market."" The design of the Mac Mini is further evidence of a future when PCs are more than just bland, bulky boxes. There are a number of companies who already produce miniature PCs based on mini-ITX motherboards. But at the moment these PCs tend to be either for the home-build enthusiast or expensive pre-built options based around Microsoft's Media Center software. But for the value the Mac Mini offers, bringing some of the best software packages within reach of more consumers than ever before, Apple is to be congratulated. Let us say then that if the Mac Mini is not a fully fledged revolution - it is a mini revolution."
